area_fips,own_code,industry_code,agglvl_code,size_code,year,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg
06043,0,10,70,0,1991,5595,100103874,0,0,344,17890,7707204,8.3,0,0.0
06045,0,10,70,0,1991,28415,520930952,0,0,353,18333,-18871091,-3.5,0,0.0
06047,0,10,70,0,1991,56829,1063883671,0,0,360,18721,60086503,6.0,0,0.0
06049,0,10,70,0,1991,2623,46987176,0,0,344,17911,1125848,2.5,0,0.0
06051,0,10,70,0,1991,4722,83971736,0,0,342,17782,-9015545,-9.7,0,0.0
06053,0,10,70,0,1991,138879,2940191972,0,0,407,21171,86047517,3.0,0,0.0
06055,0,10,70,0,1991,45447,1009247814,0,0,427,22207,35236879,3.6,0,0.0
06057,0,10,70,0,1991,22216,452466489,0,0,392,20367,24392735,5.7,0,0.0
06059,0,10,70,0,1991,1169782,32519837271,0,0,535,27800,-150386866,-0.5,0,0.0
06061,0,10,70,0,1991,64814,1477193685,0,0,438,22791,134219577,10.0,0,0.0
06063,0,10,70,0,1991,6465,130232349,0,0,387,20144,5719659,4.6,0,0.0
06065,0,10,70,0,1991,332559,7330941340,0,0,424,22044,213632555,3.0,0,0.0
06067,0,10,70,0,1991,488286,13000489707,0,0,512,26625,464897702,3.7,0,0.0
06069,0,10,70,0,1991,10702,202216234,0,0,363,18895,-14945011,-6.9,0,0.0
06071,0,10,70,0,1991,409023,9484214522,0,0,446,23188,340783661,3.7,0,0.0
06073,0,10,70,0,1991,976741,24608668930,0,0,485,25195,662198759,2.8,0,0.0
06075,0,10,70,0,1991,571191,19114199249,0,0,644,33464,925342490,5.1,0,0.0
06077,0,10,70,0,1991,169706,3797096620,0,0,430,22375,136739196,3.7,0,0.0
06079,0,10,70,0,1991,76281,1615123206,0,0,407,21173,52324843,3.3,0,0.0
06081,0,10,70,0,1991,283160,8617492129,0,0,585,30433,-638498961,-6.9,0,0.0
06083,0,10,70,0,1991,168743,4024845270,0,0,459,23852,209199728,5.5,0,0.0
06085,0,10,70,0,1991,823193,28330739067,0,0,662,34416,637137805,2.3,0,0.0
06087,0,10,70,0,1991,97044,2100554126,0,0,416,21645,80865013,4.0,0,0.0
06089,0,10,70,0,1991,54804,1164417311,0,0,409,21247,39833791,3.5,0,0.0
06091,0,10,70,0,1991,979,22145201,0,0,435,22611,582243,2.7,0,0.0
06093,0,10,70,0,1991,13927,246015061,0,0,340,17664,1863103,0.8,0,0.0
06095,0,10,70,0,1991,96970,2357263032,0,0,467,24309,25640661,1.1,0,0.0
06097,0,10,70,0,1991,146822,3438488921,0,0,450,23419,154288447,4.7,0,0.0
06099,0,10,70,0,1991,133549,2843831134,0,0,410,21294,48985457,1.8,0,0.0
06101,0,10,70,0,1991,20320,385953061,0,0,365,18994,35749317,10.2,0,0.0
06103,0,10,70,0,1991,12884,246633394,0,0,368,19143,17398234,7.6,0,0.0
06105,0,10,70,0,1991,3039,59254513,0,0,375,19496,-1013535,-1.7,0,0.0
06107,0,10,70,0,1991,107681,1970394364,0,0,352,18298,25710089,1.3,0,0.0
06109,0,10,70,0,1991,13832,281746804,0,0,392,20369,10086028,3.7,0,0.0
06111,0,10,70,0,1991,243239,6147387500,0,0,486,25273,216660997,3.7,0,0.0
06113,0,10,70,0,1991,69045,1652891738,0,0,460,23939,137731215,9.1,0,0.0
06115,0,10,70,0,1991,16881,337604972,0,0,385,19999,-62949479,-15.7,0,0.0
06001,0,10,70,0,1992,580372,17839879125,0,0,591,30739,594169830,3.4,0,0.0
06003,0,10,70,0,1992,473,8337888,0,0,339,17625,-8328734,-50.0,0,0.0
06005,0,10,70,0,1992,8958,216217766,0,0,464,24136,7916618,3.8,0,0.0
06007,0,10,70,0,1992,60098,1173854647,0,0,376,19532,60864753,5.5,0,0.0
06009,0,10,70,0,1992,6732,136226270,0,0,389,20237,8927698,7.0,0,0.0
06011,0,10,70,0,1992,6555,122671355,0,0,360,18713,549259,0.4,0,0.0
06013,0,10,70,0,1992,290580,8940733083,0,0,592,30769,583658270,7.0,0,0.0
06015,0,10,70,0,1992,6792,153957329,0,0,436,22669,3342276,2.2,0,0.0
06017,0,10,70,0,1992,31167,671626814,0,0,414,21550,21592627,3.3,0,0.0
06019,0,10,70,0,1992,278566,5944538140,0,0,410,21340,181345743,3.1,0,0.0
06021,0,10,70,0,1992,7328,135101625,0,0,355,18436,-1411867,-1.0,0,0.0
06023,0,10,70,0,1992,43961,912139258,0,0,399,20749,12848305,1.4,0,0.0
06025,0,10,70,0,1992,44301,867750096,0,0,377,19588,69998359,8.8,0,0.0
06027,0,10,70,0,1992,6838,144527885,0,0,406,21136,2127744,1.5,0,0.0
06029,0,10,70,0,1992,202510,4871770241,0,0,463,24057,2319217,0.0,0,0.0
06031,0,10,70,0,1992,30759,665351297,0,0,416,21631,-26989088,-3.9,0,0.0
06033,0,10,70,0,1992,11873,226465451,0,0,367,19073,7353001,3.4,0,0.0
06035,0,10,70,0,1992,8182,195840262,0,0,460,23937,4637172,2.4,0,0.0
06037,0,10,70,0,1992,3822907,119839078866,0,0,603,31348,1430678717,1.2,0,0.0
06039,0,10,70,0,1992,28504,558457792,0,0,377,19592,30899080,5.9,0,0.0
06041,0,10,70,0,1992,95239,2772285212,0,0,560,29109,80083703,3.0,0,0.0
06043,0,10,70,0,1992,5062,93421444,0,0,355,18457,-6682430,-6.7,0,0.0
06045,0,10,70,0,1992,28202,527122072,0,0,359,18691,6191120,1.2,0,0.0
06047,0,10,70,0,1992,57355,1122227498,0,0,376,19567,58343827,5.5,0,0.0
06049,0,10,70,0,1992,2674,52508605,0,0,378,19636,5521429,11.8,0,0.0
06051,0,10,70,0,1992,5093,92368059,0,0,349,18135,8396323,10.0,0,0.0
06053,0,10,70,0,1992,137875,3042782387,0,0,424,22069,102590415,3.5,0,0.0
06055,0,10,70,0,1992,45402,1064720151,0,0,451,23451,55472337,5.5,0,0.0
06057,0,10,70,0,1992,21914,471252275,0,0,414,21505,18785786,4.2,0,0.0
06059,0,10,70,0,1992,1138639,33464581139,0,0,565,29390,944743868,2.9,0,0.0
06061,0,10,70,0,1992,65262,1557687673,0,0,459,23868,80493988,5.4,0,0.0
06063,0,10,70,0,1992,6505,134491715,0,0,398,20675,4259366,3.3,0,0.0
06065,0,10,70,0,1992,331082,7567800124,0,0,440,22858,236858784,3.2,0,0.0
06067,0,10,70,0,1992,478117,13284578212,0,0,534,27785,284088505,2.2,0,0.0
06069,0,10,70,0,1992,10444,205728957,0,0,379,19698,3512723,1.7,0,0.0
06071,0,10,70,0,1992,412450,10085604623,0,0,470,24453,601390101,6.3,0,0.0
06073,0,10,70,0,1992,959159,25158898881,0,0,504,26230,550229951,2.2,0,0.0
06075,0,10,70,0,1992,536833,19294410215,0,0,691,35941,180210966,0.9,0,0.0
06077,0,10,70,0,1992,167664,3885115623,0,0,446,23172,88019003,2.3,0,0.0
06079,0,10,70,0,1992,76272,1667695794,0,0,420,21865,52572588,3.3,0,0.0
06081,0,10,70,0,1992,292966,9860862599,0,0,647,33659,1243370470,14.4,0,0.0
06083,0,10,70,0,1992,159916,3961784422,0,0,476,24774,-63060848,-1.6,0,0.0
06085,0,10,70,0,1992,801343,29706900328,0,0,713,37071,1376161261,4.9,0,0.0
06087,0,10,70,0,1992,94411,2191989357,0,0,446,23217,91435231,4.4,0,0.0
06089,0,10,70,0,1992,54036,1212087851,0,0,431,22431,47670540,4.1,0,0.0
06091,0,10,70,0,1992,1077,25675860,0,0,458,23836,3530659,15.9,0,0.0
06093,0,10,70,0,1992,13927,251092637,0,0,347,18030,5077576,2.1,0,0.0
06095,0,10,70,0,1992,98619,2528227671,0,0,493,25636,170964639,7.3,0,0.0
06097,0,10,70,0,1992,146291,3562644634,0,0,468,24353,124155713,3.6,0,0.0
06099,0,10,70,0,1992,134189,2966769235,0,0,425,22109,122938101,4.3,0,0.0
06101,0,10,70,0,1992,20435,401676441,0,0,378,19657,15723380,4.1,0,0.0
06103,0,10,70,0,1992,13532,271878109,0,0,386,20091,25244715,10.2,0,0.0
06105,0,10,70,0,1992,3040,63195569,0,0,400,20786,3941056,6.7,0,0.0
06107,0,10,70,0,1992,113581,2126982122,0,0,360,18727,156587758,7.9,0,0.0
06109,0,10,70,0,1992,14678,327470685,0,0,429,22311,45723881,16.2,0,0.0
06111,0,10,70,0,1992,242758,6363576346,0,0,504,26214,216188846,3.5,0,0.0
06113,0,10,70,0,1992,68262,1848547893,0,0,521,27080,195656155,11.8,0,0.0
06115,0,10,70,0,1992,16503,340481806,0,0,397,20631,2876834,0.9,0,0.0
06001,0,10,70,0,1993,581604,18147490004,0,0,600,31202,307610879,1.7,0,0.0
06003,0,10,70,0,1993,692,11440091,0,0,318,16528,3102203,37.2,0,0.0
06005,0,10,70,0,1993,9060,222564085,0,0,472,24565,6346319,2.9,0,0.0
06007,0,10,70,0,1993,60381,1196793562,0,0,381,19821,22938915,2.0,0,0.0
06009,0,10,70,0,1993,6979,137385698,0,0,379,19686,1159428,0.9,0,0.0
06011,0,10,70,0,1993,6406,122473339,0,0,368,19118,-198016,-0.2,0,0.0
06013,0,10,70,0,1993,289035,9157936859,0,0,609,31685,217203776,2.4,0,0.0
06015,0,10,70,0,1993,6970,159169244,0,0,439,22837,5211915,3.4,0,0.0
06017,0,10,70,0,1993,31036,673323427,0,0,417,21695,1696613,0.3,0,0.0
06019,0,10,70,0,1993,285901,6098770638,0,0,410,21332,154232498,2.6,0,0.0
06021,0,10,70,0,1993,7570,141894256,0,0,360,18745,6792631,5.0,0,0.0
06023,0,10,70,0,1993,44057,930148619,0,0,406,21112,18009361,2.0,0,0.0
06025,0,10,70,0,1993,45908,902513949,0,0,378,19659,34763853,4.0,0,0.0
06027,0,10,70,0,1993,6773,145743458,0,0,414,21519,1215573,0.8,0,0.0
06029,0,10,70,0,1993,202108,4929438178,0,0,469,24390,57667937,1.2,0,0.0
06031,0,10,70,0,1993,31398,683310084,0,0,419,21763,17958787,2.7,0,0.0
06033,0,10,70,0,1993,11970,231655266,0,0,372,19353,5189815,2.3,0,0.0
06035,0,10,70,0,1993,7714,188393815,0,0,470,24422,-7446447,-3.8,0,0.0
06037,0,10,70,0,1993,3704951,117809400186,0,0,611,31798,-2029678680,-1.7,0,0.0
06039,0,10,70,0,1993,29249,593892994,0,0,390,20305,35435202,6.3,0,0.0
06041,0,10,70,0,1993,96137,2809574647,0,0,562,29225,37289435,1.3,0,0.0
06043,0,10,70,0,1993,4932,93491160,0,0,365,18955,69716,0.1,0,0.0
06045,0,10,70,0,1993,27855,531345045,0,0,367,19076,4222973,0.8,0,0.0
06047,0,10,70,0,1993,57728,1137378955,0,0,379,19702,15151457,1.4,0,0.0
06049,0,10,70,0,1993,2696,52720067,0,0,376,19554,211462,0.4,0,0.0
06051,0,10,70,0,1993,5345,98684120,0,0,355,18461,6316061,6.8,0,0.0
06053,0,10,70,0,1993,137473,3095059746,0,0,433,22514,52277359,1.7,0,0.0
06055,0,10,70,0,1993,45122,1076740066,0,0,459,23863,12019915,1.1,0,0.0
06057,0,10,70,0,1993,22634,500745347,0,0,425,22123,29493072,6.3,0,0.0
06059,0,10,70,0,1993,1120705,33543359402,0,0,576,29931,78778263,0.2,0,0.0
06061,0,10,70,0,1993,67248,1619835455,0,0,463,24088,62147782,4.0,0,0.0
06063,0,10,70,0,1993,6398,134299273,0,0,404,20991,-192442,-0.1,0,0.0
06065,0,10,70,0,1993,334222,7729035105,0,0,445,23125,161234981,2.1,0,0.0
06067,0,10,70,0,1993,471578,13356063103,0,0,545,28322,71484891,0.5,0,0.0
06069,0,10,70,0,1993,11841,228767441,0,0,372,19321,23038484,11.2,0,0.0
06071,0,10,70,0,1993,411249,10197729494,0,0,477,24797,112124871,1.1,0,0.0
06073,0,10,70,0,1993,948857,25284281278,0,0,512,26647,125382397,0.5,0,0.0
06075,0,10,70,0,1993,531539,19650838334,0,0,711,36970,356428119,1.8,0,0.0
06077,0,10,70,0,1993,169682,4078023877,0,0,462,24033,192908254,5.0,0,0.0
06079,0,10,70,0,1993,73704,1648081178,0,0,430,22361,-19614616,-1.2,0,0.0
06081,0,10,70,0,1993,289875,10072800302,0,0,668,34749,211937703,2.1,0,0.0
06083,0,10,70,0,1993,155117,3933295562,0,0,488,25357,-28488860,-0.7,0,0.0
06085,0,10,70,0,1993,798033,30429550526,0,0,733,38131,722650198,2.4,0,0.0
06087,0,10,70,0,1993,92804,2188921258,0,0,454,23586,-3068099,-0.1,0,0.0
06089,0,10,70,0,1993,53465,1229116171,0,0,442,22989,17028320,1.4,0,0.0
06091,0,10,70,0,1993,1058,25800245,0,0,469,24386,124385,0.5,0,0.0
06093,0,10,70,0,1993,13474,248535395,0,0,355,18445,-2557242,-1.0,0,0.0
06095,0,10,70,0,1993,98609,2555764068,0,0,498,25918,27536397,1.1,0,0.0
06097,0,10,70,0,1993,149546,3683990470,0,0,474,24634,121345836,3.4,0,0.0
06099,0,10,70,0,1993,133204,3029700953,0,0,437,22745,62931718,2.1,0,0.0
06101,0,10,70,0,1993,20662,410420156,0,0,382,19863,8743715,2.2,0,0.0
06103,0,10,70,0,1993,13125,265869383,0,0,390,20257,-6008726,-2.2,0,0.0
06105,0,10,70,0,1993,2969,61458714,0,0,398,20701,-1736855,-2.7,0,0.0
06107,0,10,70,0,1993,114927,2149767186,0,0,360,18705,22785064,1.1,0,0.0
06109,0,10,70,0,1993,14598,330357143,0,0,435,22630,2886458,0.9,0,0.0
06111,0,10,70,0,1993,243432,6459022083,0,0,510,26533,95445737,1.5,0,0.0
06113,0,10,70,0,1993,69384,1886381318,0,0,523,27187,37833425,2.0,0,0.0
06115,0,10,70,0,1993,15975,344023028,0,0,414,21536,3541222,1.0,0,0.0
06001,0,10,70,0,1994,582410,18739090178,0,0,619,32175,591600174,3.3,0,0.0
06003,0,10,70,0,1994,723,12087135,0,0,321,16714,647044,5.7,0,0.0
06005,0,10,70,0,1994,9036,217157095,0,0,462,24032,-5406990,-2.4,0,0.0
06007,0,10,70,0,1994,62154,1267323599,0,0,392,20390,70530037,5.9,0,0.0
06009,0,10,70,0,1994,6782,132488602,0,0,376,19535,-4897096,-3.6,0,0.0
06011,0,10,70,0,1994,6680,129994488,0,0,374,19459,7521149,6.1,0,0.0
06013,0,10,70,0,1994,289653,9294826579,0,0,617,32090,136889720,1.5,0,0.0
06015,0,10,70,0,1994,7101,153392405,0,0,415,21602,-5776839,-3.6,0,0.0
06017,0,10,70,0,1994,31642,687677317,0,0,418,21733,14353890,2.1,0,0.0
06019,0,10,70,0,1994,293825,6290852347,0,0,412,21410,192081709,3.1,0,0.0
06021,0,10,70,0,1994,7539,149136178,0,0,380,19783,7241922,5.1,0,0.0
06023,0,10,70,0,1994,45199,955989727,0,0,407,21151,25841108,2.8,0,0.0
06025,0,10,70,0,1994,48200,950822873,0,0,379,19727,48308924,5.4,0,0.0
06027,0,10,70,0,1994,6746,146790361,0,0,418,21761,1046903,0.7,0,0.0
06029,0,10,70,0,1994,207515,5060184261,0,0,469,24385,130746083,2.7,0,0.0
06031,0,10,70,0,1994,32689,709627985,0,0,417,21709,26317901,3.9,0,0.0
06033,0,10,70,0,1994,12589,243739405,0,0,372,19362,12084139,5.2,0,0.0
06035,0,10,70,0,1994,8634,210710421,0,0,469,24406,22316606,11.8,0,0.0
06037,0,10,70,0,1994,3721909,118688628566,0,0,613,31889,879228380,0.7,0,0.0
06039,0,10,70,0,1994,30135,597286132,0,0,381,19821,3393138,0.6,0,0.0
06041,0,10,70,0,1994,98233,2959388540,0,0,579,30126,149813893,5.3,0,0.0
06043,0,10,70,0,1994,4947,94441487,0,0,367,19091,950327,1.0,0,0.0
06045,0,10,70,0,1994,29132,565174932,0,0,373,19401,33829887,6.4,0,0.0
06047,0,10,70,0,1994,59117,1179867306,0,0,384,19958,42488351,3.7,0,0.0
06049,0,10,70,0,1994,2774,52252218,0,0,362,18835,-467849,-0.9,0,0.0
06051,0,10,70,0,1994,5316,101449913,0,0,367,19083,2765793,2.8,0,0.0
06053,0,10,70,0,1994,140335,3299360637,0,0,452,23511,204300891,6.6,0,0.0
06055,0,10,70,0,1994,45332,1111378801,0,0,471,24516,34638735,3.2,0,0.0
06057,0,10,70,0,1994,22559,505325723,0,0,431,22400,4580376,0.9,0,0.0
06059,0,10,70,0,1994,1134142,34399150042,0,0,583,30331,855790640,2.6,0,0.0
06061,0,10,70,0,1994,70664,1721374125,0,0,468,24360,101538670,6.3,0,0.0
06063,0,10,70,0,1994,6245,132634551,0,0,408,21239,-1664722,-1.2,0,0.0
06065,0,10,70,0,1994,346747,8172813749,0,0,453,23570,443778644,5.7,0,0.0
06067,0,10,70,0,1994,485488,14062692219,0,0,557,28966,706629116,5.3,0,0.0
06069,0,10,70,0,1994,12186,235582837,0,0,372,19332,6815396,3.0,0,0.0
06071,0,10,70,0,1994,421934,10625899650,0,0,484,25184,428170156,4.2,0,0.0
06073,0,10,70,0,1994,961737,26304768879,0,0,526,27351,1020487601,4.0,0,0.0
06075,0,10,70,0,1994,525870,20151041810,0,0,737,38319,500203476,2.5,0,0.0
06077,0,10,70,0,1994,171063,4148471767,0,0,466,24251,70447890,1.7,0,0.0
06079,0,10,70,0,1994,76713,1717833469,0,0,431,22393,69752291,4.2,0,0.0
06081,0,10,70,0,1994,293164,10483032224,0,0,688,35758,410231922,4.1,0,0.0
06083,0,10,70,0,1994,155355,3967144315,0,0,491,25536,33848753,0.9,0,0.0
06085,0,10,70,0,1994,811151,31721294476,0,0,752,39107,1291743950,4.2,0,0.0
06087,0,10,70,0,1994,94029,2270771273,0,0,464,24150,81850015,3.7,0,0.0
06089,0,10,70,0,1994,54056,1264129944,0,0,450,23386,35013773,2.8,0,0.0
06091,0,10,70,0,1994,1062,25973092,0,0,471,24466,172847,0.7,0,0.0
06093,0,10,70,0,1994,13805,261488113,0,0,364,18942,12952718,5.2,0,0.0
06095,0,10,70,0,1994,104365,2801089231,0,0,516,26839,245325163,9.6,0,0.0
06097,0,10,70,0,1994,150219,3778978804,0,0,484,25156,94988334,2.6,0,0.0
06099,0,10,70,0,1994,134383,3096488695,0,0,443,23042,66787742,2.2,0,0.0
06101,0,10,70,0,1994,21252,433633468,0,0,392,20405,23213312,5.7,0,0.0
06103,0,10,70,0,1994,13414,273099033,0,0,392,20360,7229650,2.7,0,0.0
06105,0,10,70,0,1994,3164,65939687,0,0,401,20844,4480973,7.3,0,0.0
06107,0,10,70,0,1994,119134,2240802721,0,0,362,18809,91035535,4.2,0,0.0
06109,0,10,70,0,1994,14353,311905840,0,0,418,21731,-18451303,-5.6,0,0.0
06111,0,10,70,0,1994,249570,6717582874,0,0,518,26917,258560791,4.0,0,0.0
06113,0,10,70,0,1994,71749,2022043465,0,0,542,28182,135662147,7.2,0,0.0
06115,0,10,70,0,1994,15542,344326618,0,0,426,22154,303590,0.1,0,0.0
06001,0,10,70,0,1995,604087,20093535543,0,0,640,33263,1354445365,7.2,0,0.0
06003,0,10,70,0,1995,997,12666955,0,0,244,12701,579820,4.8,0,0.0
06005,0,10,70,0,1995,9710,233447712,0,0,462,24042,16290617,7.5,0,0.0
06007,0,10,70,0,1995,63080,1299171054,0,0,396,20596,31847455,2.5,0,0.0
06009,0,10,70,0,1995,6728,135377979,0,0,387,20121,2889377,2.2,0,0.0
06011,0,10,70,0,1995,6935,140206846,0,0,389,20216,10212358,7.9,0,0.0
06013,0,10,70,0,1995,292247,9644955165,0,0,635,33003,350128586,3.8,0,0.0
06015,0,10,70,0,1995,7270,161985520,0,0,428,22281,8593115,5.6,0,0.0
06017,0,10,70,0,1995,33984,735926468,0,0,416,21655,48249151,7.0,0,0.0
06019,0,10,70,0,1995,301445,6489065953,0,0,414,21527,198213606,3.2,0,0.0
