area_fips,own_code,industry_code,agglvl_code,size_code,year,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,state_fips
01099,0,10,70,0,1990,10253,213788761,0,0,401,20851,43960717,25.9,-67038817,-100.0,01
01101,0,10,70,0,1990,113638,2292225853,0,0,388,20171,130805935,6.1,-635363376,-100.0,01
01103,0,10,70,0,1990,41669,822167739,0,0,379,19731,34344358,4.4,-276245207,-100.0,01
01105,0,10,70,0,1990,2922,39428196,0,0,259,13492,2964984,8.1,-15339320,-100.0,01
01107,0,10,70,0,1990,4606,67609147,0,0,282,14678,4923077,7.9,-28564226,-100.0,01
01109,0,10,70,0,1990,10479,172162982,0,0,316,16430,9095687,5.6,-61900852,-100.0,01
01111,0,10,70,0,1990,5339,84222740,0,0,303,15775,2776418,3.4,-33998568,-100.0,01
01113,0,10,70,0,1990,12271,217652990,0,0,341,17737,19977594,10.1,-76012958,-100.0,01
01115,0,10,70,0,1990,9652,162877361,0,0,325,16875,20478117,14.4,-54715582,-100.0,01
01117,0,10,70,0,1990,28538,609285213,0,0,411,21350,78976941,14.9,-183478763,-100.0,01
01119,0,10,70,0,1990,4859,79508627,0,0,315,16363,6121817,8.3,-28707565,-100.0,01
01121,0,10,70,0,1990,23202,446524924,0,0,370,19245,14013898,3.2,-147049870,-100.0,01
01123,0,10,70,0,1990,17015,290928345,0,0,329,17098,10531909,3.8,-124766024,-100.0,01
01125,0,10,70,0,1990,62155,1307469771,0,0,405,21035,121869335,10.3,-325863340,-100.0,01
01127,0,10,70,0,1990,18705,382585130,0,0,393,20453,18558382,5.1,-120748395,-100.0,01
01129,0,10,70,0,1990,5217,137301288,0,0,506,26321,23460027,20.6,-33706208,-100.0,01
01131,0,10,70,0,1990,4012,83115178,0,0,398,20719,8602536,11.5,-22765553,-100.0,01
01133,0,10,70,0,1990,8470,129294643,0,0,294,15265,4422180,3.5,-60527708,-100.0,01
02013,0,10,70,0,1990,1426,33024451,0,0,445,23159,2922694,9.7,-22329406,-100.0,02
02016,0,10,70,0,1990,3793,106398129,0,0,539,28053,23165637,27.8,-48029519,-100.0,02
02020,0,10,70,0,1990,109585,3388076542,0,0,595,30917,306035398,9.9,-1353878770,-100.0,02
02050,0,10,70,0,1990,4529,104150403,0,0,442,22994,9384794,9.9,-31300791,-100.0,02
02060,0,10,70,0,1990,1029,28245081,0,0,528,27454,-5686035,-16.8,-19567901,-100.0,02
02070,0,10,70,0,1990,2319,54267557,0,0,450,23403,-95198,-0.2,-34041667,-100.0,02
02090,0,10,70,0,1990,26712,746953979,0,0,538,27964,29510231,4.1,-268304568,-100.0,02
02100,0,10,70,0,1990,905,22986784,0,0,488,25393,-14006198,-37.9,-22590200,-100.0,02
02110,0,10,70,0,1990,13924,398663313,0,0,551,28631,24115778,6.4,-101174467,-100.0,02
02122,0,10,70,0,1990,13716,402951858,0,0,565,29379,8225748,2.1,-185237159,-100.0,02
02130,0,10,70,0,1990,7795,225924517,0,0,557,28984,29949285,15.3,-97474185,-100.0,02
02150,0,10,70,0,1990,5690,128753026,0,0,435,22630,-19298210,-13.0,-89557706,-100.0,02
02170,0,10,70,0,1990,6943,176343262,0,0,488,25397,24062382,15.8,-57452416,-100.0,02
02180,0,10,70,0,1990,2825,73339087,0,0,499,25958,1508735,2.1,-30492764,-100.0,02
02185,0,10,70,0,1990,7513,399649118,0,0,1023,53194,45950552,13.0,-184131009,-100.0,02
02188,0,10,70,0,1990,2160,64489886,0,0,574,29856,14187682,28.2,-23576606,-100.0,02
02201,0,10,70,0,1990,2189,61402090,0,0,540,28057,4236838,7.4,-34091277,-100.0,02
02220,0,10,70,0,1990,4070,103535897,0,0,489,25441,5783393,5.9,-50469568,-100.0,02
02240,0,10,70,0,1990,1402,34138603,0,0,468,24354,2797992,8.9,-7645128,-100.0,02
02261,0,10,70,0,1990,4599,148722902,0,0,622,32339,-130768395,-46.8,-169848557,-100.0,02
02270,0,10,70,0,1990,1261,23148139,0,0,353,18355,-4371889,-15.9,-11841375,-100.0,02
02280,0,10,70,0,1990,2609,68375158,0,0,504,26205,3403528,5.2,-34060879,-100.0,02
02290,0,10,70,0,1990,2468,63999191,0,0,499,25933,3892682,6.5,-20848000,-100.0,02
04001,0,10,70,0,1990,14349,294968000,0,0,395,20556,2946401,1.0,-81233398,-100.0,04
04003,0,10,70,0,1990,25968,513980147,0,0,381,19793,47866687,10.3,-103559987,-100.0,04
04005,0,10,70,0,1990,39793,697520575,0,0,337,17529,45607226,7.0,-181886722,-100.0,04
04007,0,10,70,0,1990,11305,234760962,0,0,399,20767,19988271,9.3,-57956436,-100.0,04
04009,0,10,70,0,1990,5717,97970878,0,0,330,17136,7823013,8.7,-19021092,-100.0,04
04011,0,10,70,0,1990,2929,82562495,0,0,542,28184,8761946,11.9,-16507358,-100.0,04
04012,0,10,70,0,1990,4502,76228448,0,0,326,16931,2034951,2.7,-30138708,-100.0,04
04013,0,10,70,0,1990,985565,22348628526,0,0,436,22676,1145856977,5.4,-6102104691,-100.0,04
04015,0,10,70,0,1990,26630,456027385,0,0,329,17125,71250516,18.5,-145191821,-100.0,04
04017,0,10,70,0,1990,20468,388156846,0,0,365,18964,20239369,5.5,-103176125,-100.0,04
04019,0,10,70,0,1990,247755,4884808005,0,0,379,19716,64255021,1.3,-1329037712,-100.0,04
04021,0,10,70,0,1990,33375,679885927,0,0,392,20371,37361828,5.8,-171207986,-100.0,04
04023,0,10,70,0,1990,10623,184677591,0,0,334,17385,13451059,7.9,-63416498,-100.0,04
04025,0,10,70,0,1990,27530,473560649,0,0,331,17202,36896971,8.4,-139451785,-100.0,04
04027,0,10,70,0,1990,39066,633735313,0,0,312,16222,28158664,4.6,-227476256,-100.0,04
05001,0,10,70,0,1990,8464,144230297,0,0,328,17041,6296517,4.6,-53643279,-100.0,05
05003,0,10,70,0,1990,9173,191741893,0,0,402,20902,13664727,7.7,-58436436,-100.0,05
05005,0,10,70,0,1990,10085,158474784,0,0,302,15713,11412126,7.8,-59205057,-100.0,05
05007,0,10,70,0,1990,43922,822249979,0,0,360,18721,79911437,10.8,-319070942,-100.0,05
05009,0,10,70,0,1990,12132,192485016,0,0,305,15866,8801096,4.8,-73360235,-100.0,05
05011,0,10,70,0,1990,3857,66806236,0,0,333,17320,2514227,3.9,-22591488,-100.0,05
05013,0,10,70,0,1990,3829,80648971,0,0,405,21064,-6710667,-7.7,-31349275,-100.0,05
05015,0,10,70,0,1990,7313,100088318,0,0,263,13687,11247442,12.7,-42948757,-100.0,05
05017,0,10,70,0,1990,3808,52431783,0,0,265,13770,3356287,6.8,-20018940,-100.0,05
05019,0,10,70,0,1990,7262,110818422,0,0,293,15260,8656838,8.5,-33306550,-100.0,05
05021,0,10,70,0,1990,5819,78047923,0,0,258,13412,7532558,10.7,-34578649,-100.0,05
05023,0,10,70,0,1990,5040,74678572,0,0,285,14817,5546204,8.0,-32552302,-100.0,05
05025,0,10,70,0,1990,973,13544574,0,0,268,13914,1483925,12.3,-4959865,-100.0,05
05027,0,10,70,0,1990,9373,169047997,0,0,347,18036,9315200,5.8,-55945057,-100.0,05
05029,0,10,70,0,1990,5924,108191254,0,0,351,18263,6766700,6.7,-35801576,-100.0,05
05031,0,10,70,0,1990,29447,516134918,0,0,337,17528,25829388,5.3,-169925326,-100.0,05
05033,0,10,70,0,1990,11011,179945885,0,0,314,16342,15714182,9.6,-72953542,-100.0,05
05035,0,10,70,0,1990,14113,222316427,0,0,303,15752,14385029,6.9,-83911790,-100.0,05
05037,0,10,70,0,1990,5526,85064967,0,0,296,15394,2498656,3.0,-33951913,-100.0,05
05039,0,10,70,0,1990,3407,55180513,0,0,311,16197,1047657,1.9,-22927307,-100.0,05
05041,0,10,70,0,1990,4982,77740605,0,0,300,15604,-353117,-0.5,-31989865,-100.0,05
05043,0,10,70,0,1990,5744,91913362,0,0,308,16001,4990142,5.7,-33566544,-100.0,05
05045,0,10,70,0,1990,20735,356050507,0,0,330,17172,37088008,11.6,-114327471,-100.0,05
05047,0,10,70,0,1990,3431,52464095,0,0,294,15292,2803937,5.6,-19278824,-100.0,05
05049,0,10,70,0,1990,1633,19425760,0,0,229,11893,129221,0.7,-8582759,-100.0,05
05051,0,10,70,0,1990,26655,432323557,0,0,312,16219,22274694,5.4,-154125414,-100.0,05
05053,0,10,70,0,1990,3326,53765818,0,0,311,16166,3931937,7.9,-19129520,-100.0,05
05055,0,10,70,0,1990,10742,174330188,0,0,312,16230,18224362,11.7,-62683662,-100.0,05
05057,0,10,70,0,1990,7348,115900504,0,0,303,15773,8775255,8.2,-46269997,-100.0,05
05059,0,10,70,0,1990,6825,122420293,0,0,345,17937,13633974,12.5,-41914833,-100.0,05
05061,0,10,70,0,1990,7294,112887066,0,0,298,15476,9255781,8.9,-44220298,-100.0,05
05063,0,10,70,0,1990,13593,237004978,0,0,335,17435,17610200,8.0,-84812775,-100.0,05
05065,0,10,70,0,1990,2948,44551213,0,0,291,15111,7070809,18.9,-16859413,-100.0,05
05067,0,10,70,0,1990,5740,95706005,0,0,321,16674,6657302,7.5,-38350114,-100.0,05
05069,0,10,70,0,1990,33115,647159351,0,0,376,19543,48784553,8.2,-173401946,-100.0,05
05071,0,10,70,0,1990,5282,77561883,0,0,282,14684,6474874,9.1,-29918610,-100.0,05
05073,0,10,70,0,1990,1940,28674625,0,0,284,14783,1095140,4.0,-11443098,-100.0,05
05075,0,10,70,0,1990,4550,62629474,0,0,265,13764,-1806810,-2.8,-29390011,-100.0,05
05077,0,10,70,0,1990,2328,33714488,0,0,279,14484,2586761,8.3,-11360682,-100.0,05
05079,0,10,70,0,1990,2511,40775362,0,0,312,16237,3744737,10.1,-11240181,-100.0,05
05081,0,10,70,0,1990,5617,145362732,0,0,498,25878,43138096,42.2,-29871400,-100.0,05
05083,0,10,70,0,1990,5334,77987553,0,0,281,14622,2946905,3.9,-31702826,-100.0,05
05085,0,10,70,0,1990,7878,122687350,0,0,299,15573,13960204,12.8,-44061648,-100.0,05
05087,0,10,70,0,1990,2056,29524230,0,0,276,14362,2659950,9.9,-10496957,-100.0,05
05089,0,10,70,0,1990,2733,36443445,0,0,256,13334,736790,2.1,-16441806,-100.0,05
05091,0,10,70,0,1990,13063,246206635,0,0,362,18848,21038673,9.3,-71466443,-100.0,05
05093,0,10,70,0,1990,19264,325473027,0,0,325,16895,32384569,11.0,-108134453,-100.0,05
05095,0,10,70,0,1990,2977,37260976,0,0,241,12517,2038827,5.8,-16459093,-100.0,05
05097,0,10,70,0,1990,1256,16755274,0,0,257,13343,1121343,7.2,-6957887,-100.0,05
05099,0,10,70,0,1990,2357,36670608,0,0,299,15557,-166233,-0.5,-14455768,-100.0,05
05101,0,10,70,0,1990,959,10794578,0,0,216,11254,583290,5.7,-4379859,-100.0,05
05103,0,10,70,0,1990,9064,162127256,0,0,344,17887,-5804526,-3.5,-59108236,-100.0,05
05105,0,10,70,0,1990,1065,16118238,0,0,291,15138,1301674,8.8,-5105302,-100.0,05
05107,0,10,70,0,1990,7921,119624412,0,0,290,15103,7605727,6.8,-44370859,-100.0,05
05109,0,10,70,0,1990,2542,33721757,0,0,255,13265,617151,1.9,-14924175,-100.0,05
05111,0,10,70,0,1990,6462,95032583,0,0,283,14706,1856577,2.0,-42730330,-100.0,05
05113,0,10,70,0,1990,5150,71931947,0,0,269,13968,10225318,16.6,-27206454,-100.0,05
05115,0,10,70,0,1990,18593,366278547,0,0,379,19700,48948248,15.4,-117148624,-100.0,05
05117,0,10,70,0,1990,1860,26545772,0,0,275,14275,847040,3.3,-11022460,-100.0,05
05119,0,10,70,0,1990,202729,4315980265,0,0,409,21289,275789105,6.8,-1143629844,-100.0,05
05121,0,10,70,0,1990,4521,65318101,0,0,278,14447,2457885,3.9,-29624845,-100.0,05
05123,0,10,70,0,1990,7969,127535176,0,0,308,16004,5653501,4.6,-43425642,-100.0,05
05125,0,10,70,0,1990,12294,222355650,0,0,348,18087,15535024,7.5,-67551839,-100.0,05
05127,0,10,70,0,1990,2654,36786167,0,0,267,13863,3829523,11.6,-14183145,-100.0,05
05129,0,10,70,0,1990,1521,17778838,0,0,225,11692,-411276,-2.3,-8909281,-100.0,05
05131,0,10,70,0,1990,61920,1181389463,0,0,367,19079,58232982,5.2,-403180006,-100.0,05
05133,0,10,70,0,1990,4425,65273359,0,0,284,14751,5538026,9.3,-28001479,-100.0,05
05135,0,10,70,0,1990,2562,34446309,0,0,259,13446,3758072,12.2,-11760660,-100.0,05
05137,0,10,70,0,1990,2219,26630401,0,0,231,12002,1842380,7.4,-11872965,-100.0,05
05139,0,10,70,0,1990,19078,367511716,0,0,370,19264,21170242,6.1,-118789396,-100.0,05
05141,0,10,70,0,1990,2841,38424057,0,0,260,13525,1726354,4.7,-15257937,-100.0,05
05143,0,10,70,0,1990,54097,998970875,0,0,355,18466,74164437,8.0,-339288865,-100.0,05
05145,0,10,70,0,1990,16513,278425817,0,0,324,16861,22300308,8.7,-103368400,-100.0,05
05147,0,10,70,0,1990,2424,34864690,0,0,277,14381,-30149,-0.1,-16011327,-100.0,05
05149,0,10,70,0,1990,6022,86547823,0,0,276,14372,8440286,10.8,-35819104,-100.0,05
06001,0,10,70,0,1990,595141,16223497252,0,0,524,27260,967744275,6.3,-3480153433,-100.0,06
06003,0,10,70,0,1990,705,11527838,0,0,314,16352,-1725030,-13.0,-5563368,-100.0,06
06005,0,10,70,0,1990,8248,186736594,0,0,435,22641,25506185,15.8,-39160384,-100.0,06
06007,0,10,70,0,1990,61789,1118670750,0,0,348,18105,100475662,9.9,-317230025,-100.0,06
06009,0,10,70,0,1990,6388,120384231,0,0,362,18846,2637393,2.2,-35068500,-100.0,06
06011,0,10,70,0,1990,6617,115543361,0,0,336,17462,6476576,5.9,-42313392,-100.0,06
06013,0,10,70,0,1990,297074,8109698289,0,0,525,27299,528304031,7.0,-1880318870,-100.0,06
06015,0,10,70,0,1990,6634,140278381,0,0,407,21145,37275407,36.2,-31818764,-100.0,06
06017,0,10,70,0,1990,31513,619329847,0,0,378,19653,73553566,13.5,-173508232,-100.0,06
06019,0,10,70,0,1990,283020,5547907930,0,0,377,19603,499178809,9.9,-1598278103,-100.0,06
06021,0,10,70,0,1990,8030,140788096,0,0,337,17532,7841459,5.9,-46938389,-100.0,06
06023,0,10,70,0,1990,44385,890333981,0,0,386,20059,43581260,5.1,-247018366,-100.0,06
06025,0,10,70,0,1990,44636,787744126,0,0,339,17648,48676294,6.6,-264440549,-100.0,06
06027,0,10,70,0,1990,7259,138600053,0,0,367,19095,9911213,7.7,-35063279,-100.0,06
06029,0,10,70,0,1990,202355,4549214453,0,0,432,22481,399481356,9.6,-1180094095,-100.0,06
06031,0,10,70,0,1990,30460,638655875,0,0,403,20967,53428200,9.1,-160368778,-100.0,06
06033,0,10,70,0,1990,11061,199517381,0,0,347,18038,12747614,6.8,-59127039,-100.0,06
06035,0,10,70,0,1990,7509,162141983,0,0,415,21594,4463616,2.8,-31489312,-100.0,06
06037,0,10,70,0,1990,4288861,120410111308,0,0,540,28075,6845149988,6.0,-28169788620,-100.0,06
06039,0,10,70,0,1990,26559,479339322,0,0,347,18048,42264400,9.7,-153449604,-100.0,06
06041,0,10,70,0,1990,97553,2547976679,0,0,502,26119,224831766,9.7,-623460330,-100.0,06
06043,0,10,70,0,1990,5504,92396670,0,0,323,16787,15114642,19.6,-23447369,-100.0,06
06045,0,10,70,0,1990,29175,539802043,0,0,356,18503,42658014,8.6,-167011052,-100.0,06
06047,0,10,70,0,1990,56613,1003797168,0,0,341,17731,63606082,6.8,-330630150,-100.0,06
06049,0,10,70,0,1990,2710,45861328,0,0,325,16925,3595519,8.5,-11549433,-100.0,06
06051,0,10,70,0,1990,5341,92987281,0,0,335,17411,-2182536,-2.3,-37739071,-100.0,06
06053,0,10,70,0,1990,141924,2854144455,0,0,387,20110,204964007,7.7,-848195350,-100.0,06
06055,0,10,70,0,1990,45481,974010935,0,0,412,21416,108475791,12.5,-246338598,-100.0,06
06057,0,10,70,0,1990,21487,428073754,0,0,383,19922,53230452,14.2,-116195478,-100.0,06
06059,0,10,70,0,1990,1233878,32670224137,0,0,509,26478,2170396452,7.1,-8402289358,-100.0,06
06061,0,10,70,0,1990,61806,1342974108,0,0,418,21729,198722306,17.4,-347514753,-100.0,06
06063,0,10,70,0,1990,6490,124512690,0,0,369,19186,8784168,7.6,-31873782,-100.0,06
06065,0,10,70,0,1990,332768,7117308785,0,0,411,21388,826586556,13.1,-1928756393,-100.0,06
06067,0,10,70,0,1990,496077,12535592005,0,0,486,25269,1246846342,11.0,-2305666797,-100.0,06
06069,0,10,70,0,1990,11647,217161245,0,0,359,18646,19914192,10.1,-73740508,-100.0,06
06071,0,10,70,0,1990,408024,9143430861,0,0,431,22409,861020439,10.4,-2236692154,-100.0,06
06073,0,10,70,0,1990,1000699,23946470171,0,0,460,23930,1558148558,7.0,-6021826321,-100.0,06
06075,0,10,70,0,1990,581626,18188856759,0,0,601,31272,932951741,5.4,-3660726809,-100.0,06
06077,0,10,70,0,1990,169650,3660357424,0,0,415,21576,281717702,8.3,-995433310,-100.0,06
06079,0,10,70,0,1990,75485,1562798363,0,0,398,20703,140594178,9.9,-408502508,-100.0,06
06081,0,10,70,0,1990,310320,9255991090,0,0,574,29827,760271777,8.9,-2068333742,-100.0,06
06083,0,10,70,0,1990,166109,3815645542,0,0,442,22971,261295122,7.4,-961503245,-100.0,06
06085,0,10,70,0,1990,855974,27693601262,0,0,622,32353,1718103808,6.6,-5794034928,-100.0,06
06087,0,10,70,0,1990,96730,2019689113,0,0,402,20880,255163218,14.5,-561789897,-100.0,06
06089,0,10,70,0,1990,53837,1124583520,0,0,402,20889,110280982,10.9,-299905356,-100.0,06
06091,0,10,70,0,1990,994,21562958,0,0,417,21699,545662,2.6,-3385115,-100.0,06
06093,0,10,70,0,1990,14014,244151958,0,0,335,17422,12340662,5.3,-69763332,-100.0,06
06095,0,10,70,0,1990,98877,2331622371,0,0,453,23581,173237195,8.0,-476971782,-100.0,06
06097,0,10,70,0,1990,147161,3284200474,0,0,429,22317,348981485,11.9,-864385222,-100.0,06
06099,0,10,70,0,1990,138212,2794845677,0,0,389,20222,271131496,10.7,-839146697,-100.0,06
06101,0,10,70,0,1990,19990,350203744,0,0,337,17519,19779644,6.0,-116633466,-100.0,06
06103,0,10,70,0,1990,12396,229235160,0,0,356,18493,7503731,3.4,-69535646,-100.0,06
06105,0,10,70,0,1990,3204,60268048,0,0,362,18811,222909,0.4,-13374849,-100.0,06
06107,0,10,70,0,1990,111085,1944684275,0,0,337,17506,175319051,9.9,-644421646,-100.0,06
06109,0,10,70,0,1990,13812,271660776,0,0,378,19669,18678333,7.4,-75908366,-100.0,06
06111,0,10,70,0,1990,246302,5930726503,0,0,463,24079,457503240,8.4,-1522998419,-100.0,06
06113,0,10,70,0,1990,67186,1515160523,0,0,434,22552,176194762,13.2,-330461499,-100.0,06
06115,0,10,70,0,1990,18852,400554451,0,0,409,21248,87396084,27.9,-86267908,-100.0,06
08001,0,10,70,0,1990,93536,2103461761,0,0,432,22488,170223718,8.8,-716670059,-100.0,08
08003,0,10,70,0,1990,5279,81062994,0,0,295,15357,6911961,9.3,-33544058,-100.0,08
08005,0,10,70,0,1990,172188,4379325905,0,0,489,25433,450173766,11.5,-1405578941,-100.0,08
08007,0,10,70,0,1990,1556,22096632,0,0,273,14205,1455864,7.1,-10673893,-100.0,08
08009,0,10,70,0,1990,1016,13436034,0,0,254,13223,630916,4.9,-7758456,-100.0,08
08011,0,10,70,0,1990,1355,26286687,0,0,373,19403,246054,0.9,-5560351,-100.0,08
08013,0,10,70,0,1990,117964,2740707527,0,0,447,23233,238120234,9.5,-834558716,-100.0,08
08015,0,10,70,0,1990,4184,64257636,0,0,295,15358,5289910,9.0,-26310770,-100.0,08
08017,0,10,70,0,1990,673,12259928,0,0,350,18226,2599329,26.9,-4345390,-100.0,08
08019,0,10,70,0,1990,2365,48476737,0,0,394,20495,1962447,4.2,-18411547,-100.0,08
08021,0,10,70,0,1990,1269,17948015,0,0,272,14142,1360625,8.2,-9279005,-100.0,08
08023,0,10,70,0,1990,718,11055033,0,0,296,15402,2342432,26.9,-6300309,-100.0,08
08025,0,10,70,0,1990,784,15430832,0,0,378,19680,1143952,8.0,-4372911,-100.0,08
08027,0,10,70,0,1990,325,3871731,0,0,229,11922,-36896,-0.9,-2606172,-100.0,08
08029,0,10,70,0,1990,4990,72595392,0,0,280,14547,7911918,12.2,-28061178,-100.0,08
08031,0,10,70,0,1990,385754,10337307115,0,0,515,26798,624782152,6.4,-3081127104,-100.0,08
08033,0,10,70,0,1990,396,6349396,0,0,308,16020,-1314392,-17.2,-5323627,-100.0,08
08035,0,10,70,0,1990,13249,274294278,0,0,398,20702,63357662,30.0,-86659022,-100.0,08
08037,0,10,70,0,1990,14664,270424294,0,0,355,18441,33470184,14.1,-133883456,-100.0,08
08039,0,10,70,0,1990,1141,17368278,0,0,293,15222,1171679,7.2,-8741643,-100.0,08
08041,0,10,70,0,1990,152793,3214875233,0,0,405,21041,128736726,4.2,-1120434273,-100.0,08
08043,0,10,70,0,1990,8538,151193519,0,0,341,17709,8048652,5.6,-48689535,-100.0,08
08045,0,10,70,0,1990,11964,238221070,0,0,383,19911,37074988,18.4,-82364092,-100.0,08
08047,0,10,70,0,1990,392,5375789,0,0,264,13731,362395,7.2,-3839394,-100.0,08
08049,0,10,70,0,1990,4197,61399137,0,0,281,14629,579061,1.0,-31953703,-100.0,08
08051,0,10,70,0,1990,4807,70387454,0,0,282,14642,6486302,10.2,-31644881,-100.0,08
08053,0,10,70,0,1990,154,1876437,0,0,234,12178,111242,6.3,-1232382,-100.0,08
08055,0,10,70,0,1990,1263,17388224,0,0,265,13773,1249788,7.7,-10316499,-100.0,08
08057,0,10,70,0,1990,460,8519521,0,0,356,18507,125984,1.5,-4517756,-100.0,08
08059,0,10,70,0,1990,162704,4153332428,0,0,491,25527,348566650,9.2,-1200415993,-100.0,08
08061,0,10,70,0,1990,407,5611785,0,0,265,13785,210919,3.9,-3442961,-100.0,08
08063,0,10,70,0,1990,2473,35802565,0,0,278,14475,1843847,5.4,-16872374,-100.0,08
08065,0,10,70,0,1990,1860,35188645,0,0,364,18919,2787686,8.6,-12122118,-100.0,08
08067,0,10,70,0,1990,13267,223002438,0,0,323,16809,26432965,13.4,-95348906,-100.0,08
